event_name,Year,Season,City,Games
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1984,Summer,Los Angeles,1984 Summer
"Shooting Men's Rapid-Fire Pistol, 25 metres",1984,Summer,Los Angeles,1984 Summer
"Cycling Men's Road Race, Individual",1972,Summer,Munich,1972 Summer
Athletics Men's 400 metres Hurdles,1968,Summer,Mexico City,1968 Summer
Hockey Men's Hockey,1960,Summer,Roma,1960 Summer
Hockey Men's Hockey,1964,Summer,Tokyo,1964 Summer
Athletics Women's 100 metres,2008,Summer,Beijing,2008 Summer
Athletics Women's 100 metres,2012,Summer,London,2012 Summer
Athletics Men's Triple Jump,1960,Summer,Roma,1960 Summer
Athletics Men's High Jump,1960,Summer,Roma,1960 Summer
Hockey Men's Hockey,1948,Summer,London,1948 Summer
"Wrestling Men's Flyweight, Greco-Roman",1980,Summer,Moskva,1980 Summer
Diving Men's Platform,1936,Summer,Berlin,1936 Summer
Diving Men's Platform,1948,Summer,London,1948 Summer
"Shooting Men's Air Rifle, 10 metres",1996,Summer,Atlanta,1996 Summer
Swimming Men's 400 metres Freestyle,1980,Summer,Moskva,1980 Summer
Swimming Men's 100 metres Butterfly,1980,Summer,Moskva,1980 Summer
Hockey Men's Hockey,1952,Summer,Helsinki,1952 Summer
Weightlifting Women's Lightweight,2004,Summer,Athina,2004 Summer
Athletics Men's 100 metres,1968,Summer,Mexico City,1968 Summer
Athletics Men's 4 x 100 metres Relay,1968,Summer,Mexico City,1968 Summer
Athletics Men's 4 x 100 metres Relay,1972,Summer,Munich,1972 Summer
Athletics Women's Long Jump,2008,Summer,Beijing,2008 Summer
